"","Season_Year","dismissal_kind","s_team","wickets"
"1",2008,"bowled","CSK",11
"2",2008,"bowled","DC",16
"3",2008,"bowled","DD",16
"4",2008,"bowled","KKR",17
"5",2008,"bowled","KXIP",9
"6",2008,"bowled","MI",18
"7",2008,"bowled","RCB",22
"8",2008,"bowled","RR",20
"9",2008,"caught","CSK",49
"10",2008,"caught","DC",58
"11",2008,"caught","DD",46
"12",2008,"caught","KKR",50
"13",2008,"caught","KXIP",48
"14",2008,"caught","MI",43
"15",2008,"caught","RCB",58
"16",2008,"caught","RR",40
"17",2008,"caught and bowled","CSK",3
"18",2008,"caught and bowled","DC",2
"19",2008,"caught and bowled","KKR",3
"20",2008,"caught and bowled","KXIP",4
"21",2008,"caught and bowled","MI",2
"22",2008,"caught and bowled","RCB",3
"23",2008,"caught and bowled","RR",4
"24",2008,"hit wicket","MI",1
"25",2008,"hit wicket","RCB",1
"26",2008,"lbw","CSK",4
"27",2008,"lbw","DC",5
"28",2008,"lbw","DD",3
"29",2008,"lbw","KKR",7
"30",2008,"lbw","KXIP",6
"31",2008,"lbw","MI",4
"32",2008,"lbw","RCB",5
"33",2008,"lbw","RR",3
"34",2008,"retired hurt","MI",1
"35",2008,"run out","CSK",6
"36",2008,"run out","DC",9
"37",2008,"run out","DD",10
"38",2008,"run out","KKR",11
"39",2008,"run out","KXIP",9
"40",2008,"run out","MI",9
"41",2008,"run out","RCB",17
"42",2008,"run out","RR",12
"43",2008,"stumped","CSK",1
"44",2008,"stumped","DC",3
"45",2008,"stumped","DD",2
"46",2008,"stumped","KXIP",3
"47",2008,"stumped","MI",2
"48",2008,"stumped","RR",2
"49",2009,"bowled","CSK",8
"50",2009,"bowled","DC",18
"51",2009,"bowled","DD",14
"52",2009,"bowled","KKR",12
"53",2009,"bowled","KXIP",14
"54",2009,"bowled","MI",11
"55",2009,"bowled","RCB",17
"56",2009,"bowled","RR",16
"57",2009,"caught","CSK",55
"58",2009,"caught","DC",52
"59",2009,"caught","DD",48
"60",2009,"caught","KKR",47
"61",2009,"caught","KXIP",53
"62",2009,"caught","MI",47
"63",2009,"caught","RCB",56
"64",2009,"caught","RR",57
"65",2009,"caught and bowled","CSK",7
"66",2009,"caught and bowled","DC",1
"67",2009,"caught and bowled","DD",2
"68",2009,"caught and bowled","KXIP",1
"69",2009,"caught and bowled","MI",3
"70",2009,"caught and bowled","RCB",4
"71",2009,"hit wicket","RR",1
"72",2009,"lbw","CSK",3
"73",2009,"lbw","DC",8
"74",2009,"lbw","DD",5
"75",2009,"lbw","KKR",4
"76",2009,"lbw","KXIP",3
"77",2009,"lbw","MI",9
"78",2009,"lbw","RCB",9
"79",2009,"lbw","RR",5
"80",2009,"run out","CSK",11
"81",2009,"run out","DC",12
"82",2009,"run out","DD",4
"83",2009,"run out","KKR",6
"84",2009,"run out","KXIP",14
"85",2009,"run out","MI",11
"86",2009,"run out","RCB",6
"87",2009,"run out","RR",14
"88",2009,"stumped","CSK",2
"89",2009,"stumped","DC",4
"90",2009,"stumped","DD",2
"91",2009,"stumped","KKR",4
"92",2009,"stumped","KXIP",2
"93",2009,"stumped","MI",1
"94",2009,"stumped","RCB",5
"95",2009,"stumped","RR",7
"96",2010,"bowled","CSK",16
"97",2010,"bowled","DC",23
"98",2010,"bowled","DD",20
"99",2010,"bowled","KKR",17
"100",2010,"bowled","KXIP",14
"101",2010,"bowled","MI",16
"102",2010,"bowled","RCB",26
"103",2010,"bowled","RR",13
"104",2010,"caught","CSK",46
"105",2010,"caught","DC",69
"106",2010,"caught","DD",42
"107",2010,"caught","KKR",38
"108",2010,"caught","KXIP",47
"109",2010,"caught","MI",51
"110",2010,"caught","RCB",51
"111",2010,"caught","RR",50
"112",2010,"caught and bowled","CSK",3
"113",2010,"caught and bowled","DC",4
"114",2010,"caught and bowled","DD",2
"115",2010,"caught and bowled","KKR",3
"116",2010,"caught and bowled","KXIP",1
"117",2010,"caught and bowled","MI",2
"118",2010,"caught and bowled","RCB",1
"119",2010,"caught and bowled","RR",1
"120",2010,"lbw","CSK",5
"121",2010,"lbw","DC",5
"122",2010,"lbw","DD",5
"123",2010,"lbw","KKR",3
"124",2010,"lbw","KXIP",6
"125",2010,"lbw","MI",11
"126",2010,"lbw","RCB",3
"127",2010,"lbw","RR",3
