Player_Id,Player_Name,DOB,Batting_Id,Bowling_Id,Country_Id
1,SC Ganguly,08-07-1972,1,1,1
2,BB McCullum,27-09-1981,2,1,4
3,RT Ponting,19-12-1974,2,1,5
4,DJ Hussey,15-07-1977,2,2,5
5,Mohammad Hafeez,17-10-1980,2,2,6
6,R Dravid,11-01-1973,2,2,1
7,W Jaffer,16-02-1978,2,2,1
8,V Kohli,05-11-1988,2,1,1
9,JH Kallis,16-10-1975,2,3,2
10,CL White,18-08-1983,2,4,5
11,MV Boucher,03-12-1976,2,1,2
12,B Akhil,07-10-1977,2,5,1
13,AA Noffke,30-04-1977,2,3,5
14,P Kumar,02-10-1986,2,1,1
15,Z Khan,07-10-1978,2,6,1
16,SB Joshi,06-06-1970,1,7,1
17,PA Patel,09-03-1985,1,,1
18,ML Hayden,29-10-1971,1,1,5
19,MEK Hussey,27-05-1975,1,1,5
20,MS Dhoni,07-07-1981,2,1,1
21,SK Raina,27-11-1986,1,2,1
22,JDP Oram,28-07-1978,1,3,4
23,S Badrinath,30-08-1980,2,2,1
24,K Goel,24-12-1986,1,2,1
25,JR Hopes,24-10-1978,2,1,5
26,KC Sangakkara,27-10-1977,1,2,7
27,Yuvraj Singh,12-12-1981,1,7,1
28,SM Katich,21-08-1975,1,8,5
29,IK Pathan,27-10-1984,1,9,1
30,T Kohli,17-12-1988,2,1,1
31,YK Pathan,17-11-1982,2,2,1
32,SR Watson,17-06-1981,2,3,5
33,M Kaif,01-12-1980,2,2,1
34,DS Lehmann,05-02-1970,1,7,5
35,RA Jadeja,06-12-1988,1,7,1
36,M Rawat,25-10-1985,2,,1
37,D Salunkhe,12-11-1982,2,10,1
38,SK Warne,13-09-1969,2,4,5
39,SK Trivedi,04-09-1982,2,1,1
40,G Gambhir,14-10-1981,1,10,1
41,V Sehwag,20-10-1978,2,2,1
42,S Dhawan,05-12-1985,1,2,1
43,L Ronchi,23-04-1981,2,,5
44,ST Jayasuriya,30-06-1969,1,7,7
45,DJ Thornely,01-10-1978,2,1,5
46,RV Uthappa,11-11-1985,2,1,1
47,PR Shah,03-11-1987,2,,1
48,AM Nayar,08-10-1983,1,1,1
49,SM Pollock,16-07-1973,2,3,2
50,Harbhajan Singh,03-07-1980,2,2,1
51,S Chanderpaul,16-08-1974,1,10,8
52,LRPL Taylor,08-03-1984,2,2,4
53,AC Gilchrist,14-11-1971,1,2,5
54,Y Venugopal Rao,26-02-1982,2,2,1
55,VVS Laxman,01-11-1974,2,2,1
56,A Symonds,09-06-1975,2,2,5
57,RG Sharma,30-04-1987,2,2,1
58,SB Styris,10-07-1975,2,1,4
59,SB Bangar,11-10-1972,2,5,1
60,WPUJC Vaas,27-01-1974,1,6,7
61,RP Singh,06-12-1985,2,6,1
62,WP Saha,24-10-1984,2,,1
63,LR Shukla,06-05-1981,2,1,1
64,DPMD Jayawardene,27-05-1977,2,1,7
65,S Sohal,10-11-1987,2,10,1
66,B Lee,08-11-1976,2,11,5
