Economic Activity,category,2013 Jan,2013 Feb,2013 Mar,2013 Apr,2013 May,2013 Jun,2013 Jul,2013 Aug,2013 Sep,2013 Oct,2013 Nov,2013 Dec,2014 Jan,2014 Feb,2014 Mar,2014 Apr,2014 May,2014 Jun,2014 Jul,2014 Aug,2014 Sep,2014 Oct,2014 Nov,2014 Dec,2015 Jan,2015 Feb,2015 Mar,2015 Apr,2015 May,2015 Jun,2015 Jul,2015 Aug,2015 Sep,2015 Oct,2015 Nov,2015 Dec,2016 Jan,2016 Feb,2016 Mar,2016 Apr,2016 May,2016 Jun,2016 Jul,2016 Aug,2016 Sep,2016 Oct,2016 Nov,2016 Dec,2017 Jan,2017 Feb,2017 Mar,2017 Apr,2017 May,2017 Jun,2017 Jul,2017 Aug,2017 Sep,2017 Oct,2017 Nov,2017 Dec
Άλλες δραστηριότητες παροχής υπηρεσιών,0,512,515,512,487,403,471,571,623,599,433,504,541,584,568,539,475,399,463,520,493,495,325,400,460,468,465,442,391,313,354,403,403,343,278,374,423,428,415,399,342,297,290,370,405,333,264,360,426,460,451,434,355,287,297,389,391,314,247,360,429
"Γεωργία, δασοκομία και αλιεία",1,159,159,159,165,157,156,162,164,170,168,154,133,137,128,131,126,114,129,133,128,135,132,114,113,148,144,140,154,149,141,124,120,119,122,124,117,126,115,114,103,102,112,105,96,103,105,87,93,101,97,99,95,111,105,107,99,96,96,70,68
Δημόσια διοίκηση και άμυνα. Υποχρεωτική κοινωνική ασφάλιση,2,3140,2775,2723,2767,2652,2651,2401,2188,2275,1268,1116,2294,2838,2748,2747,2773,2419,2183,2015,2017,1989,986,1455,2168,2541,2383,2403,2086,1138,1533,1734,1751,1332,513,783,1775,1966,1976,1760,1627,722,1175,1555,1639,1240,459,700,1709,2055,1902,1769,1549,685,1058,1677,1739,1188,568,778,1759
Διαχείριση ακίνητης περιουσίας,3,202,201,177,179,177,163,166,172,168,158,198,197,218,231,182,137,133,128,116,108,96,100,139,158,184,195,157,128,100,86,75,69,74,82,143,175,207,219,183,139,101,79,71,77,84,86,296,316,310,293,283,253,231,186,170,95,84,91,136,159
Διοικητικές και υποστηρικτικές δραστηριότητες,4,849,827,820,784,594,545,514,478,472,487,738,785,810,756,712,585,424,361,349,339,369,363,680,780,818,816,792,646,462,404,363,350,351,364,688,777,809,798,724,570,478,330,312,315,307,312,643,750,769,736,686,530,423,296,297,290,264,290,666,780
Δραστηριότητες ετερόδικων οργανισμών και φορέων,5,20,17,19,19,18,18,21,20,21,20,17,16,17,15,16,14,12,12,14,19,17,15,15,15,13,11,20,20,23,26,23,25,23,16,15,17,20,26,23,21,19,15,16,16,18,17,19,14,16,14,14,13,15,17,17,16,12,7,6,6
Δραστηριότητες νοικοκυριών ως εργοδοτών,6,51,52,52,50,45,48,45,52,45,41,41,38,45,35,34,32,34,35,39,35,38,33,37,42,39,42,43,45,38,40,38,33,28,27,26,30,27,27,27,29,29,31,28,27,29,33,32,30,36,36,39,37,35,33,31,31,30,25,22,25
Δραστηριότητες σχετικές με την ανθρώπινη υγεία και την κοινωνική μέριμνα,7,333,334,334,340,324,327,372,382,383,383,392,390,390,368,348,335,296,292,295,302,315,285,300,300,310,313,316,301,263,254,261,274,275,258,278,274,279,281,263,251,239,246,254,271,262,243,258,264,271,280,286,277,272,257,285,287,270,246,254,256
Δραστηριότητες υπηρεσιών παροχής καταλύματος και υπηρεσιών εστίασης,8,10898,10955,9968,5580,2890,1992,1871,1737,1716,1919,7982,11172,12230,11930,10922,5735,2701,1904,1719,1591,1797,2160,9257,12241,13009,12910,12141,6415,3178,2185,1815,1680,1684,1986,9201,11989,12715,12661,10718,5436,3042,1554,1425,1421,1443,1823,8531,11534,12452,12185,10435,5705,2839,1423,1325,1275,1224,1459,8451,5758
Εκπαίδευση,9,594,422,402,418,506,2214,3314,3444,3244,1606,678,547,530,473,435,416,492,1363,2273,2316,2198,588,390,377,368,340,322,304,383,1283,2242,2346,1341,527,374,329,330,309,289,294,399,1320,2276,2424,1322,478,319,294,299,259,256,269,396,1366,2341,2436,1466,528,344,336
